,brand,name,describe,price,price_2,vavlue_l
37,,电饭煲4L低糖饭家用多功能铁釜智能电饭锅,钢化玻璃面板，饭后清洁好打理；高颜值外观，厨房里的颜值王； 土灶铁釜内胆，烧饭更香.,359.0,399.0,电饭煲4
38,无品牌,苏泊尔电压力锅SY-30FC12Q,苏泊尔双胆球釜家用智能预约3升小电压力锅高压锅不锈钢内胆小型迷你玲珑压力锅多功能SY-30FC12Q,589.0,599.0,无
39,松下IH电饭锅,松下IH电饭锅电饭煲SR-HK151,2mm厚釜内胆，4.2L大容量，13大自动菜单，冷饭一键复热，24小时预约，20min少量极速煮,559.0,699.0,无
40,九阳0涂层,九阳0涂层电饭煲4升容量304不锈钢内胆40N11,0涂层内胆 水润摸技术防粘易清洗,359.0,459.0,九阳0涂层电饭煲4
41,九阳0涂层,九阳0涂层电饭煲4L不锈钢电饭锅40N8,0涂层内胆 水润摸技术防粘易清洗,304.0,399.0,九阳0涂层电饭煲4
42,松下,松下电饭煲SR-R10A8,备长炭铜釜，IH电磁加热,699.0,899.0,无
43,松下远红外立体包裹式加热IH电磁加热,松下远红外立体包裹式加热IH电磁加热电饭煲,立体远红外，IH变频加热,559.0,759.0,无
44,松下,松下电饭煲SR-E10H1-W,备长炭铜釜，可变压力,1599.0,1999.0,无
45,松下,松下电饭煲SR-AE101-K,进口铜釜，可变压力技术,1699.0,2099.0,无
46,无品牌,松下电压力锅NF-PS509,无水料理，蒸煮焖炖,819.0,1099.0,无
47,松下,松下电饭煲SR-H15NSJ-W,玻璃炫彩天面屏，三重AI防溢,1299.0,1799.0,无
48,九阳家用电饭锅低糖,九阳家用电饭锅低糖电饭煲 F-40FY33,一键低糖饭 全开盖智能方煲,289.0,309.0,无
49,无品牌,双立人多功能料理锅煎炸烤火锅ZHP1200,1.3.5L容量深锅，煲汤、火锅随心料理 2.煎烤煮多功能，方便使用，花样菜单,999.0,1399.0,无
50,飞利浦（PHILIPS）智能预约触摸迷你,飞利浦（PHILIPS）智能预约触摸迷你电饭煲,采用飞利浦专利 ISpirial IH 加热技术，可精确控制热量和温度，从而形成强劲外表面气流,248.0,399.0,飞利浦（PHI
51,无品牌,苏泊尔电压力锅SY-30YZ98,苏泊尔QC系列电压力锅高压锅智能预约一锅多用NFC碰一碰云食谱自动排压小Q料理快锅SY-30YZ98,989.0,999.0,无
52,苏泊尔,苏泊尔电饭煲SF40HC1908,苏泊尔 电饭煲远红外上下立体加热IH电磁球釜内胆智能预约多功能电饭煲 4L SF40HC1908,789.0,799.0,无
53,九阳,九阳电饭煲5L家用多功能电饭锅  F861,晶钻耐磨涂层,299.0,359.0,九阳电饭煲5
54,九阳,九阳电饭煲多功能3升电饭锅3人 F30FZ-F4170,30分钟冷水快煮,199.0,259.0,九阳电饭煲多功能3
55,摩动	,摩动	电饭煲家用多功能可预约沥米煮饭锅,3升大容量 米汤分离 6大菜单 24小时智能预约 一锅多用电饭煲沥米煮饭锅,209.0,259.0,无
56,日本正负零低糖,日本正负零低糖电饭煲,±0日本正负零低糖电饭煲2L容量1~4人米汤分离电饭锅迷你低糖沥米小型电饭煲,380.0,430.0,无
57,OIDIRE 迷你,OIDIRE 迷你电饭煲不粘内胆电煮锅蒸饭锅,1.2L锅碗一体 一键操作 不粘内胆清洁更轻松 防干烧缺水自动断电，蒸煮更安心 迷你电饭煲电煮锅蒸饭,109.0,159.0,无
58,无品牌,OIDIRE 电热饭盒免注水电热可插电热饭神器,分体内胆 大面积均匀受热 304不锈钢内胆 免注水自加热 轻声加热不冒气 双盖密封防洒漏 热饭神器,109.0,159.0,无
59,艾曼达日本低糖,艾曼达日本低糖电饭煲0无氟涂层电饭锅R2,20分钟超快煮 0氟珐琅釉 3.6mm铸铁厚釜,499.0,579.0,无
60,无品牌,摩动	迷你小饭煲多功能可预约蒸饭锅电煮锅,2L容量 升级钛涂层内胆 一锅多用 清晰大屏面板 500w速沸快煮 可24小时预约 多功能迷你电饭煲,109.0,159.0,无
61,bach johann德国巴赫 低糖全智能柴火,bach johann德国巴赫 低糖全智能柴火电饭煲,低糖电饭煲“轻”饮食，只留饭香、不留糖；柴火版，德系工艺，还原本质，柴火烹煮，粒粒飘香；,319.0,599.0,无
62,SANSUI山水 降糖加厚双胆日系智能,SANSUI山水 降糖加厚双胆日系智能电饭煲,双胆电饭煲米饭鲜汤同享、24项功能菜单、分区24小时预约，分离低糖饭；,199.0,499.0,无
63,SANSUI山水 多功能一人食,SANSUI山水 多功能一人食电饭煲,米汤分离低糖电饭煲、多功能烹/煮/煲/炖、电脑面板操控，全塑机身、铝合金喷陶瓷油内胆；,179.0,279.0,无
64,无品牌,SANSUI山水 智能料理能手电压力锅,料理能手、下厨不愁、12大烹饪功能、三种口感可调，无烟解决一日三餐；,269.0,499.0,无
65,美的,美的电饭煲电饭锅家用3-10人适用微压电饭煲,美的电饭煲电饭锅家用3-10人智能多功能微压电饭煲煮粥锅5L大容量IH电磁加热一级能效,399.0,499.0,无
66,无品牌,美的 电压力锅YL50Easy203,美的Midea全自动智能预约电压力锅 家用易清洁不粘双胆一键排气煲汤炖肉保温 电饭煲高压锅2-6人,359.0,399.0,电压力锅Y
67,顶置智能操控  2L迷你,顶置智能操控  2L迷你电饭煲  精煮柴火饭,麦饭石不粘内胆    顶部电脑触控    5段精煮烹饪曲线,179.0,0.0,2
68,无品牌,白瓷温润隔水炖多功能蒸煮电炖锅,全新上市   网易严选自主设计隔水柔炖多功能电炖锅,499.0,0.0,无
